filename,group,slice,pace_hz,plv,lag_ms,sigmamu,vm_snr,ca_snr,hysteresis_width_mean,hysteresis_width_std,hysteresis_n_cycles,quality_flag,roi,original_plv,original_lag_ms,original_assignment,lag_ms_reprocessed_bad,condition,frequency,base,plv_beat_mean,plv_beat_sd,plv_beat_cv,lag_beat_mean,lag_beat_sd,lag_beat_cv,ec_coupling_gain,ec_gain_r,ec_gain_n_beats,ca_ttp_ms,ca_t50_ms,ca_t90_ms,ca_tau_ms,vm_upstroke,vm_apd50_ms,vm_apd90_ms
.\11931666\slice10 2Hz inte3.0 15V.tif,TAC,10,2.0,0.4749291669690172,178.0,0.3760928845803377,7.66411522688572,16.200175662999293,0.3727229769378419,0.2036800639180477,8,USABLE,"(np.int64(42), np.int64(106), np.int64(6), np.int64(70))",0.4778228011056069,178.0,standard,-176.0,Tac,2.0,slice10_2Hz_inte3_0_15V,0.6854503805880532,0.3628488722624665,0.5293583351010406,-26.22222222222222,83.18920870187698,3.1724698233766646,0.952535329184837,0.9777128317072772,9,348.0,16.0,28.0,16.988613537205335,9415.4052734375,312.0,376.0
.\11931666\slice10 4Hz inte3.0 15V.tif,TAC,10,4.0,0.845376102149503,244.0,0.7794189884360397,11.919073818720008,17.9697153957654,0.4870696274250214,0.0430251542442208,3,USABLE,"(np.int64(42), np.int64(106), np.int64(5), np.int64(69))",0.8453591704695317,244.0,standard,4.0,Tac,4.0,slice10_4Hz_inte3_0_15V,0.737728342235352,0.31152966667164617,0.42228236172639977,-4.235294117647059,47.380810213319364,11.187135744811517,1.0159372010988115,0.9861201304466103,17,172.0,6.0,10.0,13.205629888926582,9841.97998046875,204.0,228.0
.\11931666\slice10 8Hz inte3.0 15V.tif,TAC,10,8.0,0.5052096263700626,170.0,0.4212098680816519,6.628952691300302,16.060077294902392,0.1414557072352913,0.1137074711765187,29,USABLE,"(np.int64(39), np.int64(103), np.int64(5), np.int64(69))",0.5052714650194595,170.0,standard,-168.0,Tac,8.0,slice10_8Hz_inte3_0_15V,0.8205992867076537,0.2623900131866341,0.31975413266489106,-0.5517241379310345,11.599218590973368,21.02358369613923,1.0799743260503658,0.9233436594534072,29,80.0,14.0,18.0,735.978116547343,9574.0966796875,124.0,168.0
.\11931666\slice11 16Hz inte3.0 15V.tif,TAC,11,16.0,0.515400388743109,146.0,0.4720362115720694,6.880818827793879,16.15656774034735,0.2364327162757203,0.1225600335711918,29,USABLE,"(np.int64(77), np.int64(141), 0, np.int64(47))",0.5158569886346891,146.0,standard,-144.0,Tac,16.0,slice11_16Hz_inte3_0_15V,0.7857934113958256,0.28403614084948015,0.3614641415037309,1.1538461538461537,6.548116374523183,5.675034191253427,1.0318679436574727,0.9805951847378689,52,12.0,8.0,12.0,386512516.4357759,8230.92586436178,74.0,96.0
.\11931666\slice11 2Hz inte3.0 15V.tif,TAC,11,2.0,0.6912550889674198,498.0,0.8855834855183546,16.53293582797316,8.682606182581264,0.436541642141751,0.1672450412829149,7,USABLE,"(np.int64(29), np.int64(93), np.int64(5), np.int64(69))",0.6915066946361413,498.0,swapped,0.0,Tac,2.0,slice11_2Hz_inte3_0_15V,0.8798371772023612,0.18316950500454512,0.20818568452287214,1.3333333333333333,2.0,1.5,1.0305695259314807,0.9424451287052027,9,196.0,16.0,16.0,9.463140539218951,8898.86474609375,376.0,460.0
.\11931666\slice11 4Hz inte3.0 15V.tif,TAC,11,4.0,0.5789462110103536,248.0,0.5213278920240825,16.467105846100345,9.298530864566336,0.3893688611791474,0.1217395774407667,6,USABLE,"(np.int64(27), np.int64(91), np.int64(6), np.int64(70))",0.5787148676069643,248.0,swapped,0.0,Tac,4.0,slice11_4Hz_inte3_0_15V,0.8255014893380828,0.23906575938065008,0.2896006396939898,0.9230769230769231,1.7541160386140584,1.9002923751652299,1.0267168988321747,0.9908227524746829,13,168.0,16.0,16.0,13.219974035124958,7676.025390625,252.0,332.0
.\11931666\slice11 8Hz inte3.0 15V.tif,TAC,11,8.0,0.4039664953463944,166.0,0.3658834719370643,5.982789447412031,15.977048326574192,0.342140341682526,0.1073988667362422,27,LOW_SNR,"(np.int64(23), np.int64(87), np.int64(10), np.int64(74))",0.404712701929781,166.0,standard,-164.0,Tac,8.0,slice11_8Hz_inte3_0_15V,0.7987233676164213,0.2786842354769757,0.34891208492952336,2.5714285714285716,16.165520152839086,6.286591170548533,0.9056650016086927,0.8463603557194289,42,16.0,8.0,12.0,1027121343.2222222,6326.171875,92.0,142.0
.\11931666\slice12 16Hz inte3.0 15V.tif,TAC,12,16.0,0.4551762215468801,166.0,0.5545179505584696,7.158837332924316,16.253205178497062,0.1372226839813139,0.176896463298742,6,USABLE,"(np.int64(18), np.int64(82), np.int64(4), np.int64(68))",0.4560952739719376,166.0,standard,-164.0,Tac,16.0,slice12_16Hz_inte3_0_15V,0.8211317730085921,0.26535763214693403,0.32316083833253084,2.4347826086956523,6.978227007909175,2.866057521105554,1.0541686614472718,0.895004983269207,46,40.0,8.0,8.0,132833209.3432644,7478.82080078125,104.0,130.0
.\11931666\slice12 2Hz inte3.0 15V.tif,TAC,12,2.0,0.6503449849409592,498.0,0.6896793267023397,16.555917689100905,8.839013506753888,0.3333389497348008,0.2219624172746219,8,USABLE,"(np.int64(59), np.int64(123), 0, np.int64(64))",0.649244443470076,498.0,swapped,0.0,Tac,2.0,slice12_2Hz_inte3_0_15V,0.7846657370067204,0.3034496713507704,0.38672476321999955,0.8,1.6865480854231358,2.1081851067789197,1.1280950110855215,0.9787721229852493,10,398.0,8.0,40.0,22.133183100101594,11478.1494140625,442.0,518.0
.\11931666\slice12 4Hz inte3.0 15V.tif,TAC,12,4.0,0.6161885136978735,248.0,0.4687331123382195,16.348007853324468,7.991927053285233,0.3312246672802018,0.1363995993451517,16,USABLE,"(np.int64(57), np.int64(121), 0, np.int64(63))",0.6161635991575836,248.0,swapped,0.0,Tac,4.0,slice12_4Hz_inte3_0_15V,0.787572086113932,0.2892591684380035,0.3672796097501081,10.571428571428571,32.707830833031366,3.0939839977191834,0.9552437058645415,0.9782096977114786,14,18.0,12.0,28.0,8.509015928917824,10322.885664682644,314.0,358.0
.\11931666\slice12 8Hz inte3.0 15V.tif,TAC,12,8.0,0.6247822476858962,123.0,0.5432910466420184,16.26369711909026,6.418155270859148,0.3660442200857526,0.1364397601491208,29,USABLE,"(np.int64(53), np.int64(117), 0, np.int64(59))",0.624804688347624,123.0,swapped,0.0,Tac,8.0,slice12_8Hz_inte3_0_15V,0.8087890822388296,0.310642213665621,0.3840830946997014,-1.641025641025641,13.87820551779163,8.457031487404274,0.8670802915533331,0.9052748682506871,39,48.0,8.0,8.0,3248884900.6560373,8616.19438559319,116.0,152.0
